Cintcode Mnemonic,Operands,Cintcode Meaning,ARM64 Specific Notes
Loading Values,,,
Ln,0 <= n <= 10,B := A; A := n,"MOV x1, x0; MOV x0, #n. Simple immediate load."
LM1,,B := A; A := -1,"MOV x1, x0; MOV x0, #-1. Immediate load."
L b,0 <= b <= 255,B := A; A := b,"MOV x1, x0; MOV x0, #b. Immediate load."
LM b,0 <= b <= 255,B := A; A := -b,"MOV x1, x0; MOVN x0, #b (if b is suitable for MOVN), or SUB x0, xzr, #b."
LH h,0 <= h <= 65535,B := A; A := h,"MOV x1, x0; MOV x0, #h. May require MOVZ/MOVK pair for 16-bit immediate if h > 255."
LMH h,0 <= h <= 65535,B := A; A := -h,"MOV x1, x0; SUB x0, xzr, #h. May require MOVZ/MOVK pair for 16-bit immediate if h > 255."
LW w,w,B := A; A := w,"MOV x1, x0; MOV x0, #w. w is a 32-bit signed value. Sign-extended to 64-bit. For true 64-bit w, uses MOVZ/MOVK or literal pool."
MW w,w,MW := w,"MOV x25, #w. w is a 32-bit value (sign-extended to 64-bit for x25)."
LPn,3 <= n <= 16,B := A; A := P!n,"MOV x1, x0; LDR x0, [x29, #(n*8)]. Direct load from FP-relative stack."
LP b,b,B := A; A := P!b,"MOV x1, x0; LDR x0, [x29, #(b*8)]."
LPH h,h,B := A; A := P!h,"MOV x1, x0; LDR x0, [x29, #(h*8)]. h is 16-bit unsigned offset, effectively h*8 as byte offset."
LPW w,w,B := A; A := P!w,"MOV x1, x0; LDR x0, [x29, #(w*8)]. w is 32-bit signed offset."
LG b,b,B := A; A := G!b,"MOV x1, x0; LDR x0, [x28, #(b*8)]. Direct load from Global Pointer."
LG1 b,b,B := A; A := G!(b + 256),"MOV x1, x0; LDR x0, [x28, #((b+256)*8)]."
LGH h,h,B := A; A := G!h,"MOV x1, x0; LDR x0, [x28, #(h*8)]."
LL Ln,Ln,B := A; A := variable Ln,"MOV x1, x0; ADRP x0, Ln@PAGE; ADD x0, x0, Ln@PAGEOFF; LDR x0, [x0]. Loads content of static variable."
